Date,Open,High,Low,Close,Adj Close,Volume
02/22/2022,150.48,152.98,148.49,150.2,150.2,66128240
02/23/2022,151.65,151.76,144.65,144.83,144.83,64243560
02/24/2022,139.84,151.75,139.5,151.36,151.36,100785760
02/25/2022,150.55,153.99,149.21,153.79,153.79,62395360
02/28/2022,152.43,154.45,150.85,153.56,153.56,57683420
03/01/2022,152.73,154.1,149.98,151.14,151.14,44873580
03/02/2022,150.91,153.0,148.75,152.05,152.05,47334720
03/03/2022,153.53,153.93,146.86,147.9,147.9,65197200
03/04/2022,147.16,147.85,143.81,145.64,145.64,60983120
03/07/2022,145.44,146.09,137.42,137.45,137.45,86933860
03/08/2022,136.68,140.7,133.57,136.01,136.01,91662580
03/09/2022,139.5,140.25,136.83,139.28,139.28,82656660
03/10/2022,145.68,148.67,143.98,146.82,146.82,135062900
03/11/2022,149.57,149.68,145.37,145.52,145.52,68900560
03/14/2022,145.98,147.45,140.88,141.85,141.85,74086100
03/15/2022,142.85,147.99,142.0,147.37,147.37,75584600
03/16/2022,148.5,153.15,147.35,153.1,153.1,84957680
03/17/2022,152.64,157.5,152.14,157.24,157.24,72934840
03/18/2022,156.81,161.59,156.01,161.25,161.25,102962760
03/21/2022,161.12,163.08,159.55,161.49,161.49,66537520
03/22/2022,161.81,166.17,161.7,164.89,164.89,64086120
03/23/2022,163.71,166.37,162.69,163.41,163.41,55811860
03/24/2022,163.75,164.12,160.05,163.65,163.65,56798060
03/25/2022,164.0,165.37,162.25,164.77,164.77,49085500
03/28/2022,164.98,169.04,164.9,168.99,168.99,59853820
03/29/2022,170.38,170.83,167.87,169.32,169.32,66153600
03/30/2022,168.51,168.95,165.5,166.3,166.3,56167260
03/31/2022,166.44,166.5,162.95,163.0,163.0,59965780
04/01/2022,164.15,165.83,162.32,163.56,163.56,57089500
04/04/2022,164.12,168.39,163.21,168.35,168.35,50007960
04/05/2022,167.74,168.11,163.27,164.06,164.06,53728560
04/06/2022,161.65,162.2,157.25,158.76,158.76,79055760
04/07/2022,158.4,160.08,154.51,157.78,157.78,68136780
04/08/2022,156.75,157.37,154.23,154.46,154.46,46001660
04/11/2022,152.71,154.14,150.53,151.12,151.12,52112340
04/12/2022,153.69,155.1,150.38,150.79,150.79,55177440
04/13/2022,150.02,156.02,149.6,155.54,155.54,53390880
04/14/2022,155.39,155.9,151.47,151.71,151.71,51598140
04/18/2022,151.52,154.04,150.25,152.78,152.78,46513520
04/19/2022,152.03,158.65,151.55,158.12,158.12,54926420
04/20/2022,157.6,157.6,153.6,154.0,154.0,59630020
04/21/2022,154.71,156.74,147.59,148.3,148.3,63969320
04/22/2022,148.25,149.62,143.7,144.35,144.35,73078580
04/25/2022,144.02,146.22,142.31,146.07,146.07,61874980
04/26/2022,144.8,144.86,138.93,139.39,139.39,77529160
04/27/2022,140.19,141.95,135.78,138.17,138.17,71336300
04/28/2022,142.18,145.94,140.3,144.6,144.6,117316940
04/29/2022,129.85,130.76,121.62,124.28,124.28,272661720
05/02/2022,122.4,124.67,118.38,124.5,124.5,148788980
05/03/2022,124.05,126.22,122.82,124.25,124.25,79133360
05/04/2022,123.6,126.0,119.18,125.93,125.93,110745360
05/05/2022,123.0,123.5,115.07,116.41,116.41,144391220
05/06/2022,114.85,119.05,113.08,114.77,114.77,124259900
05/09/2022,111.31,114.0,107.96,108.79,108.79,128124380
05/10/2022,111.25,112.64,107.17,108.86,108.86,105433820
05/11/2022,108.1,110.16,104.43,105.37,105.37,109703640
05/12/2022,102.75,110.78,102.41,106.93,106.93,132025140
05/13/2022,109.07,113.18,107.8,113.06,113.06,93684560
05/16/2022,113.1,113.99,110.35,110.81,110.81,74565740
05/17/2022,113.28,115.8,111.28,115.37,115.37,76447740
05/18/2022,111.44,112.85,106.25,107.11,107.11,108379180
05/19/2022,106.28,110.03,106.19,107.32,107.32,88142540
05/20/2022,109.57,109.9,105.01,107.59,107.59,99500640
