Date,Open,High,Low,Close,Adj Close,Volume
02/22/2022,285.0,291.54,284.5,287.72,287.72,41736117
02/23/2022,290.18,291.7,280.1,280.27,280.27,37811167
02/24/2022,272.51,295.16,271.52,294.59,294.59,56989686
02/25/2022,295.14,297.63,291.66,297.31,297.31,32546721
02/28/2022,294.31,299.14,293.0,298.79,298.79,34627457
03/01/2022,296.4,299.97,292.15,294.95,294.95,31217778
03/02/2022,295.36,301.47,293.7,300.19,300.19,31873007
03/03/2022,302.89,303.13,294.05,295.92,295.92,27314469
03/04/2022,294.29,295.66,287.17,289.86,289.86,32369655
03/07/2022,288.53,289.69,278.53,278.91,278.91,43157178
03/08/2022,277.8,283.96,270.0,275.85,275.85,48159475
03/09/2022,283.44,289.6,280.78,288.5,288.5,35204480
03/10/2022,283.02,286.6,280.58,285.59,285.59,30628012
03/11/2022,287.96,289.51,279.43,280.07,280.07,27209330
03/14/2022,280.34,285.4,275.82,276.44,276.44,30660747
03/15/2022,280.35,287.82,278.72,287.15,287.15,34245085
03/16/2022,289.11,294.57,283.2,294.39,294.39,37826329
03/17/2022,293.29,295.61,289.37,295.22,295.22,30816633
03/18/2022,295.37,301.0,292.73,300.43,300.43,43390625
03/21/2022,298.89,300.14,294.9,299.16,299.16,28351245
03/22/2022,299.8,305.0,298.77,304.06,304.06,27599689
03/23/2022,300.51,303.23,297.72,299.49,299.49,25715377
03/24/2022,299.14,304.2,298.31,304.1,304.1,24484456
03/25/2022,305.23,305.5,299.29,303.68,303.68,22566453
03/28/2022,304.33,310.8,304.33,310.7,310.7,29578188
03/29/2022,313.91,315.82,309.05,315.41,315.41,30393403
03/30/2022,313.76,315.95,311.58,313.86,313.86,28163555
03/31/2022,313.9,315.14,307.89,308.31,308.31,33422070
04/01/2022,309.37,310.13,305.54,309.42,309.42,27110529
04/04/2022,310.09,315.11,309.71,314.97,314.97,24335868
04/05/2022,313.27,314.87,309.87,310.88,310.88,23156719
04/06/2022,305.19,307.0,296.71,299.5,299.5,40110372
04/07/2022,296.66,303.65,296.35,301.37,301.37,31411155
04/08/2022,300.44,301.12,296.28,296.97,296.97,24361917
04/11/2022,291.79,292.61,285.0,285.26,285.26,34569264
04/12/2022,289.24,290.74,280.49,282.06,282.06,30966721
04/13/2022,282.73,288.58,281.3,287.62,287.62,21907176
04/14/2022,288.09,288.3,279.32,279.83,279.83,28221607
04/18/2022,278.91,282.46,278.34,280.52,280.52,20778000
04/19/2022,279.38,286.17,278.41,285.3,285.3,22297720
04/20/2022,289.4,289.7,285.37,286.36,286.36,22906667
04/21/2022,288.58,293.3,280.06,280.81,280.81,29454587
04/22/2022,281.68,283.2,273.38,274.03,274.03,29405798
04/25/2022,273.29,281.11,270.77,280.72,280.72,35678852
04/26/2022,277.5,278.36,270.0,270.22,270.22,46518445
04/27/2022,282.1,290.97,279.16,283.22,283.22,63477694
04/28/2022,285.18,290.98,281.46,289.63,289.63,33646570
04/29/2022,288.61,289.88,276.5,277.52,277.52,37073923
05/02/2022,277.71,284.94,276.22,284.47,284.47,35151105
05/03/2022,283.96,284.13,280.15,281.78,281.78,25978605
05/04/2022,282.59,290.88,276.73,289.98,289.98,33599320
05/05/2022,285.54,286.35,274.34,277.35,277.35,43260386
05/06/2022,274.8,279.25,271.27,274.73,274.73,37780322
05/09/2022,270.06,272.36,263.32,264.58,264.58,47725952
05/10/2022,271.69,273.75,265.07,269.5,269.5,39336424
05/11/2022,265.68,271.36,259.3,260.55,260.55,48975898
05/12/2022,257.69,259.88,250.02,255.35,255.35,51033802
05/13/2022,257.35,263.04,255.35,261.12,261.12,34925093
05/16/2022,259.95,265.82,255.78,261.5,261.5,32550933
05/17/2022,266.11,268.33,262.46,266.82,266.82,28828799
05/18/2022,263.0,263.6,252.77,254.08,254.08,31355985
05/19/2022,253.9,257.67,251.88,253.14,253.14,32692286
05/20/2022,257.24,258.54,246.44,252.56,252.56,39199279
05/23/2022,255.49,261.5,253.43,260.65,260.65,33175379
05/24/2022,257.89,261.33,253.5,259.62,259.62,29043904
05/25/2022,258.14,264.58,257.12,262.52,262.52,28547947
05/26/2022,262.27,267.11,261.43,265.9,265.9,25002105
05/27/2022,268.48,273.34,267.56,273.24,273.24,26910806
05/31/2022,272.53,274.77,268.93,271.87,271.87,37827695
06/01/2022,275.19,277.69,270.04,272.42,272.42,25292174
06/02/2022,264.45,274.65,261.6,274.58,274.58,44008209
06/03/2022,270.31,273.45,268.41,270.02,270.02,28058958
06/06/2022,272.06,274.18,267.22,268.75,268.75,22400342
06/07/2022,266.63,273.13,265.94,272.5,272.5,22860677
06/08/2022,271.71,273.0,269.61,270.41,270.41,17372341
06/09/2022,267.78,272.71,264.63,264.79,264.79,26439728
06/10/2022,260.58,260.58,252.53,252.99,252.99,31445841
06/13/2022,245.11,249.03,241.53,242.26,242.26,46135788
06/14/2022,243.86,245.74,241.51,244.49,244.49,28651487
06/15/2022,248.31,255.3,246.42,251.76,251.76,33111729
06/16/2022,245.98,247.42,243.02,244.97,244.97,33169160
